,datetime,averagevehiclespeed,traveltime,traveltimereliability,trafficstatus,geo_point_2d,geo_shape,gml_id,id,func_class,denomination,High_Speed,Medium_Speed,Low_Speed,Location_Status,Location_ID,lat,long,Suburb,Realiable,Moderately,Non_Realiable
1409,2022-06-24 12:55:00+02:00,32,42,75,heavy,"48.083349844589435,-1.6442551923259345","{""coordinates"": [[[-1.6431611178, 48.0834487349], [-1.6436263492, 48.083259908], [-1.644157394, 48.0830284126], [-1.6444688873, 48.0829124729], [-1.6445811398, 48.0828777508], [-1.64472641, 48.0828498036], [-1.6448856597, 48.0828486833], [-1.6450233252, 48.0828781701], [-1.6451383814, 48.0829238885], [-1.6452289132, 48.0829929444], [-1.6452799858, 48.0830792736], [-1.6452945012, 48.0831658191], [-1.6452759341, 48.0832344192], [-1.6452481858, 48.0832861802], [-1.6452014932, 48.0833470868], [-1.6451368648, 48.0834029516], [-1.6450707908, 48.0834397723], [-1.6449869679, 48.0834810949], [-1.6448834295, 48.0835110499], [-1.6446053862, 48.0835773421], [-1.6437460286, 48.0837619158], [-1.6433591208, 48.0838109785], [-1.6432115245, 48.0838041469], [-1.6431107223, 48.0837957851], [-1.6430373655, 48.0837807908]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a0c,1265.0,666.0,Porte du Blosne,0,0,32,D,46686,48.083349844589435,-1.6442551923259345,Le Blosne,,0,75
1410,2022-06-24 12:55:00+02:00,77,16,12,freeFlow,"48.08504256745835,-1.6417502857027553","{""coordinates"": [[[-1.639270491, 48.0854436482], [-1.6402359752, 48.085007666], [-1.6407279945, 48.0847904683], [-1.6411138191, 48.084702353], [-1.6413407289, 48.0847043622], [-1.6414713768, 48.0847096281], [-1.641612858, 48.0847306753], [-1.6418280692, 48.0847685675], [-1.643055629, 48.0849887551], [-1.6432089747, 48.0850385152], [-1.643357497, 48.08508847], [-1.6434589057, 48.0851528529], [-1.6435915119, 48.0852485933], [-1.643683157, 48.0853748225], [-1.643778815, 48.0856263164], [-1.6439277699, 48.0859152805]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a0d,1266.0,666.0,Porte du Blosne,0,77,0,D,46688,48.08504256745835,-1.6417502857027553,Francisco-Ferrer - Vern - Poterie,12.0,0,0
1411,2022-06-24 12:55:00+02:00,82,1,100,freeFlow,"48.09037714253805,-1.62995984275631","{""coordinates"": [[[-1.6298085747, 48.0904611773], [-1.6301111108, 48.0902931078]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a0e,1267.0,666.0,Route nationale 136,82,0,0,D,46716,48.09037714253805,-1.62995984275631,Francisco-Ferrer - Vern - Poterie,,0,100
1412,2022-06-24 12:55:00+02:00,100,37,100,freeFlow,"48.087607688861794,-1.6348407708970807","{""coordinates"": [[[-1.6396325809, 48.0850960019], [-1.6386694404, 48.085592525], [-1.6371011578, 48.0864081907], [-1.6357890495, 48.0870924893], [-1.6348021941, 48.0876162439], [-1.6331027056, 48.0885206679], [-1.6314175041, 48.0894245786], [-1.6300675267, 48.0901545105]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a0f,1268.0,666.0,Route nationale 136,100,0,0,D,46717,48.087607688861794,-1.6348407708970807,Le Blosne,,0,100
1413,2022-06-24 12:55:00+02:00,82,12,100,freeFlow,"48.091269357299524,-1.6283276121063275","{""coordinates"": [[[-1.6268545245, 48.0920921444], [-1.6292437663, 48.09075406], [-1.6298085747, 48.0904611773]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a10,1269.0,666.0,Route nationale 136,82,0,0,D,46718,48.091269357299524,-1.6283276121063275,Francisco-Ferrer - Vern - Poterie,,0,100
1414,2022-06-24 12:55:00+02:00,41,21,95,heavy,"48.09097103691959,-1.628137769160208","{""coordinates"": [[[-1.6294609433, 48.0904824781], [-1.6289960983, 48.0906828507], [-1.6286599531, 48.0908246967], [-1.628424541, 48.0909170727], [-1.6282070187, 48.0909944913], [-1.6279235509, 48.0910804215], [-1.6276880777, 48.0911376577], [-1.6271437336, 48.0912494094], [-1.6269020716, 48.0913147817], [-1.6268298388, 48.0913827825], [-1.6268154039, 48.0914087135]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a11,1270.0,666.0,Porte des Loges,0,0,41,D,46719,48.09097103691959,-1.628137769160208,Francisco-Ferrer - Vern - Poterie,,0,95
1415,2022-06-24 12:55:00+02:00,36,10,45,heavy,"48.09229352286189,-1.6275186053466992","{""coordinates"": [[[-1.6269271825, 48.0924975503], [-1.6278929447, 48.0921830402], [-1.6279552908, 48.0921397343], [-1.6280034187, 48.0920690919], [-1.6280246966, 48.0919910509]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a12,1271.0,666.0,Porte des Loges,0,0,36,D,46720,48.09229352286189,-1.6275186053466992,Francisco-Ferrer - Vern - Poterie,,0,45
1416,2022-06-24 12:55:00+02:00,40,18,75,freeFlow,"48.08004776645453,-1.680096998276511","{""coordinates"": [[[-1.6810180976, 48.0800076195], [-1.6801304229, 48.0800437764], [-1.679435807, 48.0800789266], [-1.6791762329, 48.0800947239]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a13,1272.0,666.0,Porte de Nantes,0,0,40,D,46728,48.08004776645453,-1.680096998276511,Châtillon-sur-Seiche,,0,75
1417,2022-06-24 12:55:00+02:00,43,15,43,freeFlow,"48.09480929621843,-1.636680788064755","{""coordinates"": [[[-1.6377330865, 48.0951640763], [-1.6356284896, 48.0944545161]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a14,1273.0,666.0,Rue de Châteaugiron,0,0,43,D,46745,48.09480929621843,-1.636680788064755,Francisco-Ferrer - Vern - Poterie,,0,43
1418,2022-06-24 12:55:00+02:00,34,18,60,freeFlow,"48.09490570540984,-1.6366083595705097","{""coordinates"": [[[-1.6355560597, 48.0945509246], [-1.6376606595, 48.0952604862]]], ""type"": ""MultiLineString""}",v_rva_troncon_fcd.fid--4dfc3f8_181947d620a_a15,1274.0,666.0,Rue de Châteaugiron,0,0,34,G,46745,48.09490570540984,-1.6366083595705097,Francisco-Ferrer - Vern - Poterie,,0,60
